ZIF 1,Samtec 1,ZIF 2,Samtec 2,
1,16,1,nan,
2,33,2,nan,
3,15,3,nan,
4,34,4,nan,
5,14,5,nan,
6,35,6,nan,
7,13,7,nan,
8,36,8,81,
9,12,9,128,
10,37,10,82,
11,11,11,127,
12,38,12,83,
13,10,13,126,
14,39,14,84,
15,9,15,125,
16,40,16,85,
17,8,17,124,
18,41,18,86,
19,7,19,123,
20,42,20,87,
21,6,21,122,
22,43,22,88,
23,5,23,121,
24,44,24,89,
25,4,25,120,
26,45,26,90,
27,3,27,119,
28,46,28,91,
29,2,29,118,
30,47,30,92,
31,1,31,117,
32,48,32,93,
33,17,33,116,
34,49,34,94,
35,18,35,115,
36,50,36,95,
37,19,37,114,
38,51,38,96,
39,20,39,113,
40,52,40,65,
41,21,41,112,
42,53,42,66,
43,22,43,111,
44,54,44,67,
45,23,45,110,
46,55,46,68,
47,24,47,109,
48,56,48,69,
49,25,49,108,
50,57,50,70,
51,26,51,107,
52,58,52,71,
53,27,53,106,
54,59,54,72,
55,28,55,105,
56,60,56,73,
57,29,57,104,
58,61,58,74,
59,30,59,103,
60,62,60,75,
61,31,61,102,
62,63,62,76,
63,32,63,101,
64,64,64,77,
65,nan,65,100,
66,nan,66,78,
67,nan,67,99,
68,nan,68,79,
69,nan,69,98,
70,nan,70,80,
71,nan,71,97,
