Samtec,Ripple
1,65
2,67
3,69
4,71
5,73
6,75
7,77
8,79
9,81
10,83
11,85
12,87
13,89
14,91
15,93
16,95
17,96
18,94
19,92
20,90
21,88
22,86
23,84
24,82
25,80
26,78
27,76
28,74
29,72
30,70
31,68
32,66
33,97
34,99
35,101
36,103
37,105
38,107
39,109
40,111
41,113
42,115
43,117
44,119
45,121
46,123
47,125
48,127
49,98
50,100
51,102
52,104
53,106
54,108
55,110
56,112
57,114
58,116
59,118
60,120
61,122
62,124
63,126
64,128
65,1
66,3
67,5
68,7
69,9
70,11
71,13
72,15
73,17
74,19
75,21
76,23
77,25
78,27
79,29
80,31
81,2
82,4
83,6
84,8
85,10
86,12
87,14
88,16
89,18
90,20
91,22
92,24
93,26
94,28
95,30
96,32
97,33
98,35
99,37
100,39
101,41
102,43
103,45
104,47
105,49
106,51
107,53
108,55
109,57
110,59
111,61
112,63
113,34
114,36
115,38
116,40
117,42
118,44
119,46
120,48
121,50
122,52
123,54
124,56
125,58
126,60
127,62
128,64
